node,touch,hash,blksize,xthinsize,compression,ip_port,peerid,bloomsize,bloomtime,blktype,proctime,reqtime,rectime,propagationtime_computed,propagationtime
frank,2017-10-25 15:20:58,000000007ada25cd7f34b822611437df5b857d9a50464f4bffc5010e6209eeaa,2504109,216927,11.54,159.203.35.131:36806,147,16825,12,xthinblock,0.75,2017-10-25 15:20:57,2017-10-25 15:20:58,1,1.19
frank,2017-10-25 15:25:05,00000000ea796b5a5e404bdde0ca8255dcb2adf9511b4ade39fcebd03027a389,608900,182633,3.33,2.37.183.149:40892,152,7519,8,xthinblock,0.26,2017-10-25 15:25:05,2017-10-25 15:25:05,0,0.40
frank,2017-10-25 15:27:04,00000000aaf71f39b5ad00d629574f8a5c1cbd0e032f1a931c25374a5e29c2c3,74912,55756,1.34,2.37.183.149:40892,152,5492,3,xthinblock,0.04,2017-10-25 15:27:04,2017-10-25 15:27:04,0,0.16
frank,2017-10-25 16:05:52,000000009bb47e63fae0ac3e1f6900867b132dadbada401e8eba7a46893a4086,2523758,46408,54.38,2.37.183.149:40892,152,17671,15,xthinblock,0.58,2017-10-25 16:05:52,2017-10-25 16:05:52,0,0.62
frank,2017-10-24 22:59:28,00000000670520105b0d5319740cd236a966f897f4d2b2cb1f3877af47c9ae0c,14911152,3560014,4.19,173.212.243.103:51804,19,101381,89,xblocktx,8.84,2017-10-24 22:59:24,2017-10-24 22:59:25,1,5.26
frank,2017-10-25 00:32:30,00000000444433dc79ad247ec1df0cf2547ba458d1a49658e5a524977d1a21c8,33382546,22186746,1.50,2.37.183.149:40290,26,100327,101,xblocktx,37.02,2017-10-25 00:31:33,2017-10-25 00:32:27,54,59.26
frank,2017-10-25 00:45:43,0000000031087b370ec3a725c5581eb8d5fb4ee76e5bd2a6f297aeedc6ba57ca,7898048,5129695,1.54,2.37.183.149:40290,26,53961,50,xblocktx,4.20,2017-10-25 00:45:32,2017-10-25 00:45:42,10,11.99
frank,2017-10-25 04:07:17,000000000603fde4abbbc4374b9cbcd316a5ec0d950a96bf3652611e7f2bc632,10502490,2256705,4.64,2.37.183.149:40290,26,54100,36,xblocktx,5.99,2017-10-25 04:07:10,2017-10-25 04:07:17,7,7.96
frank,2017-10-25 04:16:34,000000007b18528441553652eb7fb25955c53e6574fb10d703418d8fe6798932,25812996,4317411,5.98,2.37.183.149:40290,26,139440,125,xblocktx,13.32,2017-10-25 04:16:23,2017-10-25 04:16:33,10,14.93
frank,2017-10-25 11:05:27,00000000aa43338e414e01bc5119f43ff6609b01ea5a2de988cf2f2163a259f4,64869294,4883457,13.28,162.239.8.102:9333,71,385221,391,xblocktx,161.10,2017-10-25 11:04:54,2017-10-25 11:05:18,24,36.84
frank,2017-10-25 13:14:04,0000000013486fe90f8f567dcaede2d003a8bd67ab76f93b9624473db0db727b,1882262,491312,3.83,84.216.230.210:40062,173,15590,13,xblocktx,0.79,2017-10-25 13:14:03,2017-10-25 13:14:04,1,0.94
frank,2017-10-25 13:28:27,00000000e018fd81ea3fcf31c93a9cf6d303ac18d9e87b2a8b919d690d2a94bb,3930516,642901,6.11,159.203.35.131:36806,147,24958,23,xblocktx,1.39,2017-10-25 13:28:25,2017-10-25 13:28:26,1,1.98
frank,2017-10-25 14:16:37,0000000097846a3e99c4f57dd27752adf0fe5b4c165fed79e84b33a4422bb9f0,1068154,870542,1.23,84.216.230.210:40062,173,9083,6,xblocktx,0.64,2017-10-25 14:16:36,2017-10-25 14:16:37,1,0.61
frank,2017-10-25 15:26:36,00000000b3e0021cf1a00d8b9667d88b40d37df18f38275ae3005d6be0cc8ebe,160549,64321,2.48,173.212.243.103:9333,184,5918,3,xblocktx,0.09,2017-10-25 15:26:35,2017-10-25 15:26:35,0,0.09
frank,2017-10-25 15:35:38,00000000f871119332503ab4ae3f1012902a02799b5634378f483ca2f9d9b4a5,1357475,108078,12.51,173.212.243.103:9333,184,11625,7,xblocktx,0.36,2017-10-25 15:35:38,2017-10-25 15:35:38,0,0.38
(61 rows)
